 861 ,PC802_0 PFI 0 PRINTF: msg=,0x032CB220, dir_q,0x02,PUT  , type= ,1, size0=0, SLot_SFN  ,0x000000FD, mcycle,315927182
 862 ,PC802_0 PFI 0 PRINTF: msg=,0x12000720, dir_q,0x11,GET  , type= ,0, size0=0, SLot_SFN  ,0x000100FD, mcycle,316300384
 863 ,PC802_0 PFI 0 PRINTF: msg=,0x032468A0, dir_q,0x12,GET  , type= ,1, size0=0, SLot_SFN  ,0x000100FD, mcycle,316305201
 864 ,PC802_0 PFI 0 PRINTF: msg=,0x12000720, dir_q,0x11,FREE , type= ,0, size0=0, SLot_SFN  ,0x000100FD, mcycle,316314411
 865 ,PC802_0 PFI 0 PRINTF: msg=,0x032468A0, dir_q,0x12,FREE , type= ,1, size0=0, SLot_SFN  ,0x000100FD, mcycle,316315578
 866 ,PC802_0 PFI 0 PRINTF: msg=,0x12C29420, dir_q,0x01,ALLOC, type= ,0, size0=0, SLot_SFN  ,0x000100FD, mcycle,316329004
 867 ,PC802_0 PFI 0 PRINTF: msg=,0x032D3220, dir_q,0x02,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x000100FD, mcycle,316335654
 868 ,PC802_0 PFI 0 PRINTF: msg=,0x12C29420, dir_q,0x01,PUT  , type= ,0, size0=0, SLot_SFN  ,0x000100FD, mcycle,316353571
 869 ,PC802_0 PFI 0 PRINTF: msg=,0x032D3220, dir_q,0x02,PUT  , type= ,1, size0=0, SLot_SFN  ,0x000100FD, mcycle,316354588
 870 ,PC802_0 PFI 0 PRINTF: msg=,0x0322E8A0, dir_q,0x12,GET  , type= ,2, size0=0, SLot_SFN  ,0x000200FD, mcycle,316723066
 871 ,PC802_0 PFI 0 PRINTF: msg=,0x0322E8A0, dir_q,0x12,FREE , type= ,2, size0=0, SLot_SFN  ,0x000200FD, mcycle,316730700
 872 ,PC802_0 PFI 0 PRINTF: msg=,0x12C02020, dir_q,0x01,ALLOC, type= ,0, size0=0, SLot_SFN  ,0x000200FD, mcycle,316744133
 873 ,PC802_0 PFI 0 PRINTF: msg=,0x032C3220, dir_q,0x02,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x000200FD, mcycle,316750776
 874 ,PC802_0 PFI 0 PRINTF: msg=,0x12C02020, dir_q,0x01,PUT  , type= ,0, size0=0, SLot_SFN  ,0x000200FD, mcycle,316768503
 875 ,PC802_0 PFI 0 PRINTF: msg=,0x032C3220, dir_q,0x02,PUT  , type= ,1, size0=0, SLot_SFN  ,0x000200FD, mcycle,316769520
 876 ,PC802_0 PFI 0 PRINTF: msg=,0x032368A0, dir_q,0x12,GET  , type= ,2, size0=0, SLot_SFN  ,0x000300FD, mcycle,317148629
