 861 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x032CB220 dir_q=0x02 PUT   type= 1, size0=0, SLot_SFN = 0x000000FD mcycle=315927182
 862 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x12000720 dir_q=0x11 GET   type= 0, size0=0, SLot_SFN = 0x000100FD mcycle=316300384
 863 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x032468A0 dir_q=0x12 GET   type= 1, size0=0, SLot_SFN = 0x000100FD mcycle=316305201
 864 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x12000720 dir_q=0x11 FREE  type= 0, size0=0, SLot_SFN = 0x000100FD mcycle=316314411
 865 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x032468A0 dir_q=0x12 FREE  type= 1, size0=0, SLot_SFN = 0x000100FD mcycle=316315578
 866 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x12C29420 dir_q=0x01 ALLOC type= 0, size0=0, SLot_SFN = 0x000100FD mcycle=316329004
 867 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x032D3220 dir_q=0x02 ALLOC type= 2, size0=0, SLot_SFN = 0x000100FD mcycle=316335654
 868 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x12C29420 dir_q=0x01 PUT   type= 0, size0=0, SLot_SFN = 0x000100FD mcycle=316353571
 869 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x032D3220 dir_q=0x02 PUT   type= 1, size0=0, SLot_SFN = 0x000100FD mcycle=316354588
 870 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x0322E8A0 dir_q=0x12 GET   type= 2, size0=0, SLot_SFN = 0x000200FD mcycle=316723066
 871 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x0322E8A0 dir_q=0x12 FREE  type= 2, size0=0, SLot_SFN = 0x000200FD mcycle=316730700
 872 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x12C02020 dir_q=0x01 ALLOC type= 0, size0=0, SLot_SFN = 0x000200FD mcycle=316744133
 873 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x032C3220 dir_q=0x02 ALLOC type= 2, size0=0, SLot_SFN = 0x000200FD mcycle=316750776
 874 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x12C02020 dir_q=0x01 PUT   type= 0, size0=0, SLot_SFN = 0x000200FD mcycle=316768503
 875 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x032C3220 dir_q=0x02 PUT   type= 1, size0=0, SLot_SFN = 0x000200FD mcycle=316769520
 876 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 0 PRINTF: msg=0x032368A0 dir_q=0x12 GET   type= 2, size0=0, SLot_SFN = 0x000300FD mcycle=317148629
 897 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 PUT   type= 1, size0=0, SLot_SFN = 0x000100FD mcycle=1934309874
 898 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12000720 dir_q=0x11 PUT   type= 0, size0=0, SLot_SFN = 0x000100FD mcycle=1934310952
 899 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000100FD mcycle=1934367921
 900 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000200FD mcycle=1934696622
 901 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000200FD mcycle=1934697647
 902 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 ALLOC type= 1, size0=0, SLot_SFN = 0x000200FD mcycle=1934701118
 903 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000200FD mcycle=1934711723
 904 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000200FD mcycle=1934733450
 905 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000200FD mcycle=1934781931
 906 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000300FD mcycle=1935121659
 907 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000300FD mcycle=1935122671
 908 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 ALLOC type= 1, size0=0, SLot_SFN = 0x000300FD mcycle=1935126110
 909 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000300FD mcycle=1935136993
 910 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032368A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000300FD mcycle=1935158629
 911 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032BB220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000300FD mcycle=1935207353
 912 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000400FD mcycle=1935547075
 913 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000400FD mcycle=1935548079
 914 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000400FD mcycle=1935551511
 915 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000400FD mcycle=1935562377
 916 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000400FD mcycle=1935584131
 917 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000400FD mcycle=1935633055
 918 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032BB220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000500FD mcycle=1935972173
 919 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000500FD mcycle=1935973196
 920 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032368A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000500FD mcycle=1935976657
 921 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000500FD mcycle=1935987201
 922 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000500FD mcycle=1936009534
 923 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 GET   type= 2, size0=0, SLot_SFN = 0x000500FD mcycle=1936032757
 924 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000600FD mcycle=1936396278
 925 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000600FD mcycle=1936397284
 926 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000600FD mcycle=1936400726
 927 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000600FD mcycle=1936429870
 928 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 GET   type= 2, size0=0, SLot_SFN = 0x000600FD mcycle=1936453010
 929 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 FREE  type= 2, size0=0, SLot_SFN = 0x000700FD mcycle=1936821378
 930 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000700FD mcycle=1936825342
 931 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x1200A540 dir_q=0x11 ALLOC type= 0, size0=0, SLot_SFN = 0x000700FD mcycle=1936846589
 932 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032368A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000700FD mcycle=1936856118
 933 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032BB220 dir_q=0x02 GET   type= 2, size0=0, SLot_SFN = 0x000700FD mcycle=1936879336
 934 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 FREE  type= 2, size0=0, SLot_SFN = 0x000800FD mcycle=1937246467
 935 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000800FD mcycle=1937250525
 936 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12014360 dir_q=0x11 ALLOC type= 0, size0=0, SLot_SFN = 0x000800FD mcycle=1937271373
 937 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000800FD mcycle=1937280993
 938 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 GET   type= 2, size0=0, SLot_SFN = 0x000800FD mcycle=1937305548
 939 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032BB220 dir_q=0x02 FREE  type= 2, size0=0, SLot_SFN = 0x000900FD mcycle=1937672122
 940 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032368A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000900FD mcycle=1937676132
 941 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000900FD mcycle=1937705785
 942 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000900FD mcycle=1937754349
 943 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 FREE  type= 2, size0=0, SLot_SFN = 0x000A00FD mcycle=1938096514
 944 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000A00FD mcycle=1938100738
 945 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000A00FD mcycle=1938111315
 946 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 PUT   type= 1, size0=0, SLot_SFN = 0x000A00FD mcycle=1938133126
 947 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x1200A540 dir_q=0x11 PUT   type= 0, size0=0, SLot_SFN = 0x000A00FD mcycle=1938134316
 948 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000A00FD mcycle=1938195273
 949 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000B00FD mcycle=1938522308
 950 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000B00FD mcycle=1938523305
 951 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000B00FD mcycle=1938526993
 952 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000B00FD mcycle=1938537669
 953 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032368A0 dir_q=0x12 PUT   type= 1, size0=0, SLot_SFN = 0x000B00FD mcycle=1938560131
 954 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12014360 dir_q=0x11 PUT   type= 0, size0=0, SLot_SFN = 0x000B00FD mcycle=1938561238
 955 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032BB220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000B00FD mcycle=1938622306
 956 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000C00FD mcycle=1938947377
 957 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000C00FD mcycle=1938948402
 958 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 ALLOC type= 1, size0=0, SLot_SFN = 0x000C00FD mcycle=1938951832
 959 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000C00FD mcycle=1938962392
 960 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000C00FD mcycle=1938984117
 961 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000C00FD mcycle=1939032833
 962 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032BB220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000D00FD mcycle=1939371390
 963 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000D00FD mcycle=1939372385
 964 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032368A0 dir_q=0x12 ALLOC type= 1, size0=0, SLot_SFN = 0x000D00FD mcycle=1939375833
 965 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000D00FD mcycle=1939386548
 966 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000D00FD mcycle=1939408208
 967 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000D00FD mcycle=1939456953
 968 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000E00FD mcycle=1939797284
 969 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000E00FD mcycle=1939798290
 970 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000E00FD mcycle=1939801738
 971 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000E00FD mcycle=1939812586
 972 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000E00FD mcycle=1939834714
 973 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000E00FD mcycle=1939884754
 974 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000F00FD mcycle=1940221760
 975 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000F00FD mcycle=1940222761
