PFI 0 PRINTF(   413 :   46128434): msg=0x032368C0,dir_q=,0x12,GET   ,type= ,1, size0=0, SLot_SFN = ,0x65000008,mcycle=, 42139340
PFI 0 PRINTF(   413 :   46129140): msg=0x032368C0,dir_q=,0x12,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x65000008,mcycle=, 42147005
PFI 0 PRINTF(   413 :   46129840): msg=0x0323E8C0,dir_q=,0x12,GET   ,type= ,1, size0=0, SLot_SFN = ,0x66010008,mcycle=, 42643123
PFI 0 PRINTF(   413 :   46130538): msg=0x0323E8C0,dir_q=,0x12,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x66010008,mcycle=, 42650782
PFI 0 PRINTF(   413 :   46131235): msg=0x032468C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x67020008,mcycle=, 43142038
PFI 0 PRINTF(   413 :   46131933): msg=0x032468C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x67020008,mcycle=, 43149613
PFI 0 PRINTF(   413 :   46132631): msg=0x0322E8C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x68030008,mcycle=, 43640656
PFI 0 PRINTF(   413 :   46133331): msg=0x0322E8C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x68030008,mcycle=, 43648225
PFI 0 PRINTF(   413 :   46134030): msg=0x032368C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x69040008,mcycle=, 44140806
PFI 0 PRINTF(   413 :   46134727): msg=0x032368C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x69040008,mcycle=, 44148393
PFI 0 PRINTF(   413 :   46135424): msg=0x0323E8C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x6A050008,mcycle=, 44639817
PFI 0 PRINTF(   413 :   46136122): msg=0x0323E8C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x6A050008,mcycle=, 44647384
PFI 0 PRINTF(   413 :   46136820): msg=0x032468C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x6B060008,mcycle=, 45140464
PFI 0 PRINTF(   413 :   46150738): msg=0x032468C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x6B060008,mcycle=, 45148034
PFI 0 PRINTF(   413 :   46151445): msg=0x0322E8C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x6C070008,mcycle=, 45638253
PFI 0 PRINTF(   413 :   46152144): msg=0x0322E8C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x6C070008,mcycle=, 45645878
PFI 0 PRINTF(   413 :   46154230): msg=0x1203CB80,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x7B0B0005,mcycle=, 17643874
PFI 0 PRINTF(   413 :   46154930): msg=0x1203CB80,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7B0B0005,mcycle=, 17657664
PFI 0 PRINTF(   413 :   46155630): msg=0x12001720,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x7C000006,mcycle=, 22139791
PFI 0 PRINTF(   413 :   46156331): msg=0x12001720,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7C000006,mcycle=, 22153551
PFI 0 PRINTF(   413 :   46157032): msg=0x12015340,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x7D010006,mcycle=, 22640036
PFI 0 PRINTF(   413 :   46157733): msg=0x12015340,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x7D010006,mcycle=, 22653998
