PFI 0 PRINTF(    91 :  200392299): msg=0x0323E8C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3A09005C,mcycle=,196853162
PFI 0 PRINTF(    91 :  200393024): msg=0x0323E8C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3A09005C,mcycle=,196885737
PFI 0 PRINTF(    91 :  200393724): msg=0x032468C0,dir_q=,0x12,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3B0A005C,mcycle=,197360029
PFI 0 PRINTF(    91 :  200394423): msg=0x032468C0,dir_q=,0x12,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3B0A005C,mcycle=,197369081
PFI 0 PRINTF(    91 :  200395120): msg=0x0322E8C0,dir_q=,0x12,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3C0B005C,mcycle=,197862414
PFI 0 PRINTF(    91 :  200395817): msg=0x0322E8C0,dir_q=,0x12,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3C0B005C,mcycle=,197871364
PFI 0 PRINTF(    91 :  200396514): msg=0x032368C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3D0C005C,mcycle=,198353385
PFI 0 PRINTF(    91 :  200397211): msg=0x032368C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3D0C005C,mcycle=,198360811
PFI 0 PRINTF(    91 :  200397909): msg=0x0323E8C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3E0D005C,mcycle=,198857311
PFI 0 PRINTF(    91 :  200398606): msg=0x0323E8C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3E0D005C,mcycle=,198863582
PFI 0 PRINTF(    91 :  200399305): msg=0x032468C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3F0E005C,mcycle=,199352731
PFI 0 PRINTF(    91 :  200400002): msg=0x032468C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3F0E005C,mcycle=,199362826
PFI 0 PRINTF(    91 :  200400701): msg=0x0322E8C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x400F005C,mcycle=,199851528
PFI 0 PRINTF(    91 :  200436188): msg=0x0322E8C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x400F005C,mcycle=,199861588
PFI 0 PRINTF(    91 :  200436896): msg=0x032368C0,dir_q=,0x12,GET   ,type= ,2, size0=0, SLot_SFN = ,0x4110005C,mcycle=,200350882
PFI 0 PRINTF(    91 :  200437600): msg=0x032368C0,dir_q=,0x12,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x4110005C,mcycle=,200384093
