PFI 1 PRINTF(    91 :  200393660): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3C09005C,mcycle=,196816658
PFI 1 PRINTF(    91 :  200394366): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3A09005C,mcycle=,196849340
PFI 1 PRINTF(    91 :  200395098): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3D0A005C,mcycle=,197317997
PFI 1 PRINTF(    91 :  200395795): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3B0A005C,mcycle=,197350800
PFI 1 PRINTF(    91 :  200396523): msg=0x0323E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3E0B005C,mcycle=,197818371
PFI 1 PRINTF(    91 :  200397220): msg=0x0322E8C0,dir_q=,0x12,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3C0B005C,mcycle=,197851362
PFI 1 PRINTF(    91 :  200397947): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3F0C005C,mcycle=,198317624
PFI 1 PRINTF(    91 :  200398644): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3D0C005C,mcycle=,198350265
PFI 1 PRINTF(    91 :  200399373): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x400D005C,mcycle=,198818266
PFI 1 PRINTF(    91 :  200400070): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3E0D005C,mcycle=,198851190
PFI 1 PRINTF(    91 :  200400797): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x410E005C,mcycle=,199318035
PFI 1 PRINTF(    91 :  200401494): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3F0E005C,mcycle=,199350812
PFI 1 PRINTF(    91 :  200402221): msg=0x0323E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x420F005C,mcycle=,199816919
PFI 1 PRINTF(    91 :  200402918): msg=0x0322E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x400F005C,mcycle=,199824039
PFI 1 PRINTF(    91 :  200435556): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x4310005C,mcycle=,200316668
PFI 1 PRINTF(    91 :  200436262): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x4110005C,mcycle=,200350097
PFI 1 PRINTF(    91 :  200438383): msg=0x12015340,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0111005A,mcycle=,180834777
PFI 1 PRINTF(    91 :  200439081): msg=0x12028F60,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0212005A,mcycle=,181334364
PFI 1 PRINTF(    91 :  200439809): msg=0x12015340,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x0100005B,mcycle=,182351930
PFI 1 PRINTF(    91 :  200440508): msg=0x12028F60,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x0201005B,mcycle=,182852626
PFI 1 PRINTF(    91 :  200441236): msg=0x1203CB80,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0307005B,mcycle=,185834613
