PFI 12 PRINTF(    91 :  200393501): msg=0x0323E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3E0B005C,mcycle=,197818371
PFI 12 PRINTF(    91 :  200394207): msg=0x0322E8C0,dir_q=,0x12,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3C0B005C,mcycle=,197851362
PFI 12 PRINTF(    91 :  200394940): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3F0C005C,mcycle=,198317624
PFI 12 PRINTF(    91 :  200395637): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3D0C005C,mcycle=,198350265
PFI 12 PRINTF(    91 :  200396364): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x400D005C,mcycle=,198818266
PFI 12 PRINTF(    91 :  200397061): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3E0D005C,mcycle=,198851190
PFI 12 PRINTF(    91 :  200397789): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x410E005C,mcycle=,199318035
PFI 12 PRINTF(    91 :  200398486): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3F0E005C,mcycle=,199350812
PFI 12 PRINTF(    91 :  200399213): msg=0x0323E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x420F005C,mcycle=,199816919
PFI 12 PRINTF(    91 :  200399910): msg=0x0322E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x400F005C,mcycle=,199824039
PFI 12 PRINTF(    91 :  200400637): msg=0x032468C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x4310005C,mcycle=,200316668
PFI 12 PRINTF(    91 :  200401334): msg=0x032368C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3908005C,mcycle=,196343511
PFI 12 PRINTF(    91 :  200402061): msg=0x0322E8C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3C09005C,mcycle=,196816658
PFI 12 PRINTF(    91 :  200402758): msg=0x0323E8C0,dir_q=,0x12,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x3A09005C,mcycle=,196849340
PFI 12 PRINTF(    91 :  200435560): msg=0x032368C0,dir_q=,0x12,ALLOC ,type= ,2, size0=0, SLot_SFN = ,0x3D0A005C,mcycle=,197317997
PFI 12 PRINTF(    91 :  200436261): msg=0x032468C0,dir_q=,0x12,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3B0A005C,mcycle=,197350800
PFI 12 PRINTF(    91 :  200438375): msg=0x12001720,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x080B005C,mcycle=,197852769
PFI 12 PRINTF(    91 :  200439103): msg=0x12015340,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0111005A,mcycle=,180834777
PFI 12 PRINTF(    91 :  200439800): msg=0x12028F60,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0212005A,mcycle=,181334364
PFI 12 PRINTF(    91 :  200440527): msg=0x12015340,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x0100005B,mcycle=,182351930
PFI 12 PRINTF(    91 :  200441224): msg=0x12028F60,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x0201005B,mcycle=,182852626
PFI 12 PRINTF(    91 :  200441951): msg=0x1203CB80,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0307005B,mcycle=,185834613
PFI 12 PRINTF(    91 :  200442648): msg=0x12001720,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0408005B,mcycle=,186333863
PFI 12 PRINTF(    91 :  200443375): msg=0x1203CB80,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x030A005B,mcycle=,187352687
PFI 12 PRINTF(    91 :  200444072): msg=0x12001720,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x040B005B,mcycle=,187852358
PFI 12 PRINTF(    91 :  200444799): msg=0x12015340,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0511005B,mcycle=,190834883
PFI 12 PRINTF(    91 :  200445496): msg=0x12028F60,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0612005B,mcycle=,191333714
PFI 12 PRINTF(    91 :  200446223): msg=0x12015340,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x0500005C,mcycle=,192352933
PFI 12 PRINTF(    91 :  200481450): msg=0x12028F60,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x0601005C,mcycle=,192852183
PFI 12 PRINTF(    91 :  200482177): msg=0x1203CB80,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0707005C,mcycle=,195835353
PFI 12 PRINTF(    91 :  200482874): msg=0x12001720,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x0808005C,mcycle=,196333493
PFI 12 PRINTF(    91 :  200483571): msg=0x1203CB80,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x070A005C,mcycle=,197352134
PFI 12 PRINTF(    91 :  200485670): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3B0B005C,mcycle=,197812866
PFI 12 PRINTF(    91 :  200486367): msg=0x032C3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3D0B005C,mcycle=,197927445
PFI 12 PRINTF(    91 :  200487094): msg=0x032CB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3C0C005C,mcycle=,198312483
PFI 12 PRINTF(    91 :  200487791): msg=0x032D3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3E0C005C,mcycle=,198417887
PFI 12 PRINTF(    91 :  200488518): msg=0x032C3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3D0D005C,mcycle=,198812869
PFI 12 PRINTF(    91 :  200489215): msg=0x032BB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3F0D005C,mcycle=,198919587
PFI 12 PRINTF(    91 :  200489942): msg=0x032D3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3606005C,mcycle=,195312620
PFI 12 PRINTF(    91 :  200490639): msg=0x032CB220,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3806005C,mcycle=,195378633
PFI 12 PRINTF(    91 :  200491366): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3707005C,mcycle=,195813041
PFI 12 PRINTF(    91 :  200492063): msg=0x032C3220,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x3907005C,mcycle=,195902027
PFI 12 PRINTF(    91 :  200527052): msg=0x032CB220,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3808005C,mcycle=,196311995
PFI 12 PRINTF(    91 :  200527749): msg=0x032D3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3A08005C,mcycle=,196446876
PFI 12 PRINTF(    91 :  200528476): msg=0x032C3220,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x3909005C,mcycle=,196811728
PFI 12 PRINTF(    91 :  200529173): msg=0x032BB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3B09005C,mcycle=,196938533
PFI 12 PRINTF(    91 :  200529900): msg=0x032D3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3A0A005C,mcycle=,197312752
PFI 12 PRINTF(    91 :  200530597): msg=0x032CB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3C0A005C,mcycle=,197397540
PFI 12 PRINTF(    91 :  200532680): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x800B005C,mcycle=,197813643
PFI 12 PRINTF(    91 :  200533407): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x810B005C,mcycle=,197828902
PFI 12 PRINTF(    91 :  200534104): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x810C005C,mcycle=,198313268
PFI 12 PRINTF(    91 :  200534832): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0x820C005C,mcycle=,198328038
PFI 12 PRINTF(    91 :  200535529): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x820D005C,mcycle=,198813632
